key,model,term,estimate,std_error,ci_low,ci_high,p_value,exponentiated,exponentiated_ci_low,exponentiated_ci_high,design_df,converged
M2_COEF_surgery_inpatient,M2,surgery_inpatient,-0.15592408625705942,0.13391584925390157,-0.4196170784885491,0.10776890597443026,0.245496295078371,0.8556241415367786,0.6572984653535645,1.1137903253535708,261,TRUE
M2_COEF_surgery_emergency_room,M2,surgery_emergency_room,-0.11157710762856143,0.13778459978060362,-0.3828880361108157,0.1597338208536928,0.41889937814256617,0.8944224219523778,0.6818892419836236,1.1731985484387066,261,TRUE
M2_COEF_surgery_outpatient,M2,surgery_outpatient,-0.12477144370433299,0.104189535719774,-0.3299305087905475,0.08038762138188152,0.23233308794121277,0.8826986258592718,0.7189736940475582,1.083707054297744,261,TRUE
M2_COEF_surgery_office_based,M2,surgery_office_based,-0.12234919366408385,0.12671567288029695,-0.3718643565861353,0.12716596925796758,0.3352923911202159,0.8848393342601117,0.6894477552290884,1.1356054777402584,261,TRUE
M2_COEF_log1p.surgical_event_count.,M2,log1p(surgical_event_count),0.18036455531282916,0.10354577284151219,-0.023526879686265795,0.38425599031192414,0.08287172029585059,1.1976538946372546,0.9767477196437171,1.4685213208002093,261,TRUE
M2_COEF_PANEL23,M2,PANEL23,0.0486287782315773,0.09063821034531813,-0.12984644355601682,0.22710400001917141,0.5921233408012954,1.049830558438363,0.8782302784855026,1.2549603770569597,261,TRUE
M2_COEF_PANEL25,M2,PANEL25,-0.10881381535946552,0.11590436689115835,-0.33704049269829817,0.11941286197936715,0.3488102029369703,0.8968973904720929,0.713879932392729,1.1268350496132298,261,TRUE
M2_COEF_PANEL26,M2,PANEL26,0.02190424687787728,0.11959842953815737,-0.21359638972944256,0.25740488348519713,0.8548437226775929,1.022145906122658,0.8076743048906733,1.2935687653759538,261,TRUE
M2_COEF_opioid_binaryany_opioid.poverty_2below_200_fpl,M2,opioid_binaryany_opioid:poverty_2below_200_fpl,0.10658610803025165,0.19985305155448185,-0.28694348136941467,0.5001156974299179,0.5943276514581901,1.1124737152418593,0.7505541479309433,1.6489120345490298,261,TRUE
M3_COEF_X.Intercept.,M3,(Intercept),-2.8091241062670913,0.30963050212713994,-3.4188158944081835,-2.199432318125999,5.3254538813741495e-17,0.06025774866897302,0.03275119285835899,0.11086607716416019,261,TRUE
M3_COEF_opioid_binaryany_opioid,M3,opioid_binaryany_opioid,-0.13437790633912125,0.1338562946931756,-0.39795362999929274,0.12919781732105026,0.3164833440383336,0.8742596139174252,0.6716931733528148,1.1379152012396172,261,TRUE
M3_COEF_ns.AGEY1X..3.1,M3,"ns(AGEY1X, 3)1",-0.03185185526251829,0.181509215399452,-0.3892606936706205,0.32555698314558396,0.8608542030502632,0.9686500718609146,0.6775576120072285,1.3848017424474675,261,TRUE
M3_COEF_ns.AGEY1X..3.2,M3,"ns(AGEY1X, 3)2",0.14040874126089686,0.6191248020505751,-1.078706639980569,1.3595241225023629,0.8207917060353296,1.1507440593210292,0.3400350290774039,3.8943396321712584,261,TRUE
M3_COEF_ns.AGEY1X..3.3,M3,"ns(AGEY1X, 3)3",0.8556909484757412,0.19816202452623413,0.4654911514756103,1.245890745475872,2.3400890319478992e-5,2.3529996205329344,1.5927963010572164,3.4760296784674956,261,TRUE
M3_COEF_sexfemale,M3,sexfemale,-0.048229501921226325,0.0989604993793669,-0.24309209913772023,0.14663309529526758,0.6264666086213704,0.9529150661415823,0.7841992863674915,1.1579290354698015,261,TRUE
